"Date","CrudeOil","NaturalGas","Coal","PPI"
1995-02-01,32.723968082127,35.0698034724231,37.6,123.5
1995-03-01,32.548862248771,35.0836716992455,38.35,123.9
1995-04-01,35.191157098877,37.3782552440723,37.1,124.6
1995-05-01,34.5498975862875,36.9082586428051,38.77,124.9
1995-06-01,32.5047982250302,35.3504026455879,40.77,125.3
1995-07-01,30.1044302406129,33.2592638114797,41.05,125.3
1995-08-01,30.896213523965,33.819160490366,40.88,125.1
1995-09-01,31.4153967665752,34.3117576618229,40.93,125.2
1995-10-01,30.3200914863414,33.5068695649504,40.97,125.3
1995-11-01,31.514172614744,34.3882618453527,39.59,125.4
1995-12-01,33.6247419015603,36.3897888151551,39.35,125.7
1996-01-01,33.3418602431291,36.2838386382672,39.37,126.3
1996-02-01,33.1107620152085,36.4648928265852,39.28,126.2
1996-03-01,36.4039924999376,38.8942315840019,39.01,126.4
1996-04-01,38.8180359041326,40.7882813560899,39.33,127.4
1996-05-01,35.7628058915286,38.1097330963845,38.2,128.1
1996-06-01,34.7641657637256,37.3169793381391,38.2,128
1996-07-01,36.6337231070245,38.9344528072416,38.4,128
1996-08-01,37.8348700419507,39.8109449568205,38.35,128.3
1996-09-01,41.4746720335959,42.8133048969324,38.1,128.2
1996-10-01,43.9204420162398,45.3285871683129,37.6,128
1996-11-01,41.7254612969426,43.7629955502855,35.7,128.2
1996-12-01,44.0458260518391,45.9328321926977,35.35,129.1
1997-01-01,43.6261036795039,45.4201773666662,35.23,129.7
1997-02-01,38.4542886516004,40.5917986821546,34.6,128.5
1997-03-01,36.3954026123099,38.4707852620411,34.5,127.3
1997-04-01,33.6991626846247,36.0837480088027,35.4,127
1997-05-01,36.5213981179683,38.5659735176232,35.73,127.4
1997-06-01,33.8154180974655,36.1494753372441,34.5,127.2
1997-07-01,34.5920760234326,36.6360438296809,35,126.9
1997-08-01,35.2477426739283,37.3752667184759,36.93,127.2
1997-09-01,35.1341401301459,37.4382453433194,37.15,127.5
1997-10-01,37.7399440198879,39.5769361601232,37.15,127.8
1997-11-01,35.9571392969039,37.8183269628275,33.6,127.9
1997-12-01,32.3282654781446,34.4051557696878,31.4,126.8
1998-01-01,28.1810564091693,30.757246292383,31.4,125.4
1998-02-01,26.5152111714063,29.2964130091938,33.44,125
1998-03-01,24.7443360591443,27.6225302494874,31.88,124.7
1998-04-01,25.0175351419416,27.7095329902134,31.18,124.9
1998-05-01,26.167744158955,28.5576774956073,30.28,125.1
1998-06-01,23.394575204027,26.1724988768525,30,124.8
1998-07-01,23.8412499939408,26.3794280965045,30,124.9
1998-08-01,23.440020460086,25.6723903330295,26.2,124.2
1998-09-01,25.8823500574541,27.8755549826974,27.09,123.8
1998-10-01,24.8856055767069,26.8024553946709,27.1,124
1998-11-01,22.3077673783518,24.5807873573322,26.1,123.6
1998-12-01,19.5364359048471,22.0885287804376,26.1,122.8
1999-01-01,21.2215372897493,23.4535700250483,26.1,122.9
1999-02-01,20.1355330151549,22.4772598299204,26.1,122.3
1999-03-01,24.0861705206461,25.8232574937774,26.1,122.6
1999-04-01,29.4921675035943,30.4525957884273,26.1,123.6
1999-05-01,30.2221630391174,31.2649948779198,26.1,124.7
1999-06-01,30.450693081715,31.5502051562405,26.1,125.2
1999-07-01,35.1677500404815,35.5931850996069,26.1,125.7
1999-08-01,37.92200423226,38.204083971979,26.1,126.9
1999-09-01,41.9814752779479,41.706095656559,26.1,128
1999-10-01,41.6586271887396,41.8227910366454,25.6,127.7
1999-11-01,45.4555126278814,44.9584501423851,25.1,128.3
1999-12-01,46.9103572114042,46.2591494658465,25.1,127.8
2000-01-01,47.2345001301005,47.4658732798392,25.1,128.3
2000-02-01,50.8492571871951,50.651277180431,25.1,129.8
2000-03-01,51.4822154693036,51.3994308093742,25.1,130.8
2000-04-01,43.9520586327487,45.3126708285605,25.1,130.7
2000-05-01,51.0574366197169,51.3721380229267,25.6,131.6
2000-06-01,55.4987708645111,55.62735055818,25.6,133.8
2000-07-01,52.77865804748,53.6175320438447,25.6,133.7
2000-08-01,55.1196411879774,55.8051368217723,25.6,132.9
2000-09-01,60.1374463786311,60.4004953134811,27.15,134.7
2000-10-01,58.9316839419784,59.8241888136103,27.15,135.4
2000-11-01,60.603570467934,61.349126708128,27.15,135
2000-12-01,47.2652509996749,51.4873578817248,30.75,136.2
2001-01-01,48.5061877836059,52.3231199483329,32.1,140
2001-02-01,51.0084354084007,53.4283890222171,32.1,137.4
2001-03-01,46.901735479137,49.9508082309003,32.6,135.9
2001-04-01,48.1095368914098,51.0462977353783,33.5,136.4
2001-05-01,51.6474448140743,53.7934990117334,33.8,136.8
2001-06-01,50.6006643745497,52.8226915942907,33.9,135.5
2001-07-01,46.5150226787664,48.7134025535665,34,133.4
2001-08-01,48.399635434263,50.1112064135637,33.8,133.4
2001-09-01,46.9844786284132,48.527904509065,32.8,133.3
2001-10-01,38.8776665707281,41.2612171321838,32.4,130.3
2001-11-01,35.0433538312338,37.4490587526182,29.4,129.8
2001-12-01,34.7443193386753,36.932439420084,27.35,128.1
2002-01-01,35.9479716152042,37.5900210675617,29.1,128.5
2002-02-01,37.4722942990093,38.966818423208,29.85,128.4
2002-03-01,44.3850342181057,45.066060444072,29.55,129.8
2002-04-01,47.7405661611171,47.9367011116254,28.84,130.8
2002-05-01,48.200237210271,48.4747741184507,28.63,130.8
2002-06-01,45.9857331039235,46.3846454232627,26.65,130.9
2002-07-01,48.3240236121371,48.6292875099493,24.9,131.2
2002-08-01,50.2150699347294,49.6604603489793,24,131.5
2002-09-01,53.0529272734026,52.3439940318449,24.45,132.3
2002-10-01,51.644543643126,51.8019995515566,26.25,133.2
2002-11-01,46.486871528628,47.408245575102,26.25,133.1
2002-12-01,52.2685428386168,52.5357784306071,26.25,132.9
2003-01-01,57.6364880881175,57.7787022451318,26.6785714285714,135.3
2003-02-01,61.5954180599452,62.0291623866272,26.9464285714286,137.6
2003-03-01,56.8328861423543,57.357888645089,26.1428571428571,141.2
2003-04-01,47.749495770057,49.5947048428795,25.125,136.8
2003-05-01,48.8462936536992,50.5561965317113,24.9642857142857,136.7
2003-06-01,52.2619607298365,53.5160045392876,25.8214285714286,138
2003-07-01,53.5919705525476,54.4496980493557,26.0892857142857,137.7
2003-08-01,55.6285149420625,56.2795226259468,27.1339285714286,138
2003-09-01,50.4158553090257,51.9759621560102,28.6071428571429,138.5
2003-10-01,54.4054831984972,55.4145747828168,29.4642857142857,139.3
2003-11-01,54.6087432538193,55.8511720577312,32.0491071428571,138.9
2003-12-01,56.1406282920925,57.9759663303543,36.4285714285714,139.5
2004-01-01,58.7442083394943,60.3632704688512,40.4464285714286,141.4
2004-02-01,58.6540526173326,60.3536832163409,44.7321428571429,142.1
2004-03-01,63.0249937268387,64.619679367607,52.4330357142857,143.1
2004-04-01,63.1629147007452,65.3970341546718,57.0535714285714,144.8
2004-05-01,70.3670016625226,72.0266612208297,60.46875,146.8
2004-06-01,66.6424724146982,69.4128768008489,63.8035714285714,147.2
2004-07-01,70.9623323905617,73.4224155352312,65.7589285714286,147.4
2004-08-01,78.8251922748398,79.7559473729571,63.4821428571429,148
2004-09-01,77.7254736901968,78.6488491371294,59.3303571428571,147.7
2004-10-01,87.3840292158477,87.8599807163819,60.6696428571429,150
2004-11-01,78.6051007314452,80.2123443022663,56.5982142857143,151.4
2004-12-01,73.0203427352923,75.2784924792806,55.9821428571429,150.2
2005-01-01,80.3807285873419,81.6983403037208,56.8339285714286,150.9
2005-02-01,83.1995241710238,83.8966198842217,53.4616071428571,151.6
2005-03-01,95.3741228206464,94.6023465719798,54.5625,153.7
2005-04-01,94.942247983156,95.0774188133122,54.9107142857143,155
